author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 78345281,homeowner,https://www.cian.ru/sale/flat/301254943/,Москва,sale,flat,25,25,2,38.8,-1,0,13200000,Люблино,Люблинская ,76к2,Перерва,Люблинский парк
Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/sale/flat/300236165/,Москва,sale,flat,4,12,2,46.8,-1,0,13300000,Чертаново Южное,Кировоградская ,44К1,Улица Академика Янгеля,
Екатерина Гуляева,realtor,https://www.cian.ru/sale/flat/301588529/,Москва,sale,flat,16,17,2,53.2,-1,0,13300000,Орехово-Борисово Северное, Маршала Захарова,14К1,Орехово,
ИП Самарская М.И.,real_estate_agent,https://www.cian.ru/sale/flat/297171976/,Москва,sale,flat,9,9,2,44.8,-1,0,13300000,Кузьминки, Федора Полетаева,36,Рязанский проспект,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/295267562/,Москва,sale,flat,7,13,2,46.7,-1,0,13500000,, Сервантеса,3к3,Филатов Луг,Испанские кварталы
QuickHome,real_estate_agent,https://www.cian.ru/sale/flat/298869495/,Москва,sale,flat,12,12,2,44.6,-1,0,13500000,Левобережный,Прибрежный проезд,7,Ховрино,
Пространство,real_estate_agent,https://www.cian.ru/sale/flat/301779031/,Москва,sale,flat,6,12,2,45.0,-1,0,13500000,Рязанский, Коновалова,20к1,Чухлинка,
ТРИИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300134288/,Москва,sale,flat,3,9,2,37.0,-1,0,13430000,Кунцево,Бобруйская ,3,Молодёжная,
ВСЁ ПРОСТО,real_estate_agent,https://www.cian.ru/sale/flat/298157493/,Москва,sale,flat,6,24,2,61.5,-1,0,13400000,Косино-Ухтомский,Лухмановская ,35,Лухмановская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/299846090/,Москва,sale,flat,6,14,2,47.4,-1,0,13500000,Очаково-Матвеевское,Озерная ,19К1,Очаково,
Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299183582/,Москва,sale,flat,14,16,2,52.0,-1,0,13400000,Чертаново Южное,Варшавское шоссе,154К4,Аннино,
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/299596557/,Москва,sale,flat,4,5,2,43.2,-1,0,13500000,Коптево, Генерала Рычагова,6,Коптево,
